name,nTracks,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Mads Langer, 1, 0.44, 0.692, 5.374, 0.0492, 0.318, 0.0, 0.0922, 0.298, 78.393, 
Burhan G, 1, 0.565, 0.639, 6.599, 0.0301, 0.385, 0.0, 0.105, 0.427, 90.981, 
Britney Spears, 1, 0.665, 0.844, 3.777, 0.0273, 0.171, 0.0, 0.225, 0.665, 147.073, 
Juice, 1, 0.671, 0.562, 6.207, 0.023, 0.166, 0.0, 0.109, 0.289, 89.031, 
Mc Einar, 1, 0.908, 0.529, 9.116, 0.0926, 0.21, 0.0, 0.133, 0.927, 95.062, 
Page Four, 1, 0.587, 0.565, 6.078, 0.0601, 0.0355, 0.0, 0.0974, 0.659, 172.527, 
Taco Hemingway, 8, 5.702000000000001, 4.295, 74.933, 1.9769999999999999, 3.4695000000000005, 0.17068540000000001, 1.6766999999999999, 2.9209, 806.7959999999999, 
Quebonafide, 2, 1.553, 1.466, 12.833, 0.33859999999999996, 0.9450000000000001, 0.0, 0.25329999999999997, 1.359, 255.93800000000002, 
Young Multi, 2, 1.327, 1.319, 10.633, 0.20879999999999999, 0.0913, 9.29e-06, 0.1902, 0.42300000000000004, 221.67700000000002, 
Otsochodzi, 1, 0.694, 0.663, 6.882, 0.334, 0.631, 0.0, 0.0906, 0.214, 154.852, 
Kylie Minogue, 1, 0.675, 0.384, 7.12, 0.0449, 0.749, 0.0, 0.167, 0.416, 86.952, 
Bedoes, 1, 0.583, 0.572, 8.168, 0.0726, 0.279, 0.0, 0.0927, 0.728, 140.209, 
Kungs, 1, 0.793, 0.729, 4.77, 0.0394, 0.08, 3.1e-05, 0.317, 0.488, 121.972, 
Kokab, 1, 0.648, 0.832, 6.343, 0.0795, 8.76e-05, 5.18e-05, 0.645, 0.392, 114.961, 
Matias Dam√°sio, 1, 0.514, 0.573, 9.093, 0.241, 0.525, 2.28e-05, 0.0942, 0.355, 90.046, 
Piruka, 3, 2.263, 1.8130000000000002, 28.079, 0.8210000000000001, 1.566, 0.000611, 0.2962, 0.763, 339.895, 
Richie Campbell, 2, 0.984, 0.857, 20.181, 0.182, 1.33, 1.14e-05, 0.2107, 0.636, 179.272, 
Gabrielle, 1, 0.778, 0.752, 5.665, 0.0449, 0.143, 1.21e-05, 0.0917, 0.388, 120.015, 
Zara Larsson, 3, 1.7590000000000001, 1.8809999999999998, 18.584, 0.2372, 0.6663, 1.26e-06, 0.2977, 1.531, 367.11, 
Hov1, 4, 2.683, 2.888, 26.804, 0.8916000000000001, 0.2909, 0.0, 0.587, 2.4170000000000003, 497.8689999999999, 
De Vet Du, 1, 0.764, 0.732, 6.101, 0.127, 0.0873, 3.24e-05, 0.338, 0.826, 130.027, 
Joakim Lundell, 6, 3.826, 4.041, 38.397999999999996, 0.6879, 1.4976, 0.01861251, 0.941, 2.6660000000000004, 589.1229999999999, 
Isaiah, 1, 0.433, 0.745, 4.632, 0.0377, 0.221, 0.0, 0.0981, 0.588, 95.472, 
FO&O, 1, 0.559, 0.729, 5.098, 0.0315, 0.0278, 0.0, 0.284, 0.747, 135.072, 
Wiktoria, 1, 0.696, 0.785, 5.892, 0.0631, 0.108, 0.0, 0.327, 0.756, 120.001, 
Benjamin Ingrosso, 1, 0.574, 0.742, 5.405, 0.0955, 0.0621, 0.0, 0.262, 0.409, 106.766, 
Nano, 1, 0.433, 0.878, 3.097, 0.0505, 0.033, 1.44e-06, 0.159, 0.386, 160.151, 
Jon Henrik Fj√§llgren, 1, 0.171, 0.674, 4.927, 0.036, 0.0119, 0.0, 0.093, 0.211, 169.968, 
Anton Hagman, 1, 0.811, 0.815, 5.109, 0.0628, 0.0154, 0.0, 0.0551, 0.81, 142.024, 
Tjuvjakt, 2, 1.532, 1.082, 10.998000000000001, 0.384, 0.92, 0.0, 0.1471, 1.379, 159.90800000000002, 
Vigiland, 1, 0.718, 0.673, 5.567, 0.0366, 0.00104, 1.16e-05, 0.0577, 0.0825, 128.051, 
Kamferdrops, 1, 0.604, 0.892, 4.55, 0.161, 0.425, 0.00279, 0.211, 0.615, 110.026, 
JLC, 1, 0.672, 0.885, 4.09, 0.042, 0.178, 0.0, 0.267, 0.783, 95.995, 
Kaliffa, 2, 1.241, 1.299, 11.864, 0.1344, 0.14450000000000002, 0.00015769999999999998, 0.2, 1.206, 224.292, 
Triad, 1, 0.678, 0.558, 8.633, 0.0307, 0.75, 0.0, 0.193, 0.754, 107.683, 
Adolphson & Falk, 1, 0.583, 0.747, 5.633, 0.0834, 0.293, 0.00656, 0.659, 0.662, 160.865, 
Tommy K√∂rberg, 1, 0.494, 0.419, 9.479, 0.028, 0.671, 0.0, 0.157, 0.228, 73.649, 
Chris Kl√§fford, 2, 0.869, 0.8559999999999999, 15.972000000000001, 0.0674, 0.9646, 1.82e-06, 0.328, 0.759, 321.51099999999997, 
Just D, 1, 0.637, 0.701, 4.819, 0.0395, 0.0819, 0.0, 0.466, 0.891, 84.024, 
Nat King Cole, 1, 0.31, 0.095, 17.828, 0.0366, 0.904, 3.43e-05, 0.128, 0.188, 72.76, 
Alejandro Fernandez, 1, 0.682, 0.858, 4.711, 0.0708, 0.245, 0.0, 0.104, 0.753, 94.954, 
Christian Nodal, 2, 1.092, 0.9410000000000001, 10.401, 0.063, 0.736, 0.0, 0.415, 1.333, 257.776, 
Jesse & Joy, 1, 0.702, 0.84, 3.547, 0.0879, 0.0112, 0.0, 0.119, 0.624, 101.99, 
CHANO, 1, 0.608, 0.859, 5.58, 0.185, 0.115, 0.0, 0.325, 0.8, 190.065, 
Dame 5, 1, 0.771, 0.906, 5.884, 0.0506, 0.0208, 5.54e-05, 0.304, 0.433, 111.64, 
Olvidate!, 1, 0.767, 0.82, 4.936, 0.137, 0.0222, 0.0, 0.0493, 0.785, 110.076, 
Emmsj√© Gauti, 4, 3.274, 2.501, 26.905, 0.924, 0.2978, 1.06e-06, 0.4415, 1.865, 565.462, 
Fri√∞rik D√≥r, 1, 0.564, 0.494, 8.465, 0.0696, 0.0338, 0.0, 0.0802, 0.301, 83.876, 
Aron Can, 11, 8.095, 4.843999999999999, 107.60300000000001, 1.9618, 3.3053000000000003, 0.03083166, 1.6627, 3.9297999999999997, 1271.7389999999998, 
Rihanna, 1, 0.509, 0.637, 4.83, 0.0471, 0.0717, 1.08e-05, 0.0789, 0.378, 172.006, 
Attan, 2, 1.645, 1.089, 12.704, 0.12240000000000001, 0.627, 0.00012963999999999999, 0.2082, 0.9299999999999999, 203.055, 
Sturla Atlas, 8, 6.004, 4.537, 51.146, 1.0608, 0.40998, 0.00041819, 1.3112, 2.5104, 1005.5000000000002, 
Aron Hannes, 2, 1.458, 1.38, 14.358, 0.0849, 0.32799999999999996, 0.0, 0.6859999999999999, 0.685, 218.015, 
Rj√≥minn, 1, 0.846, 0.631, 9.683, 0.323, 0.0756, 0.0, 0.131, 0.692, 96.04, 
Svala, 2, 1.252, 1.3319999999999999, 12.79, 0.0635, 0.0385, 0.0022, 0.237, 0.903, 205.928, 
Da√∞i Freyr, 2, 1.68, 1.074, 21.567999999999998, 0.1266, 0.1182, 0.002373, 0.1393, 1.32, 240.00400000000002, 
Herra Hnetusmj√∂r, 6, 4.828000000000001, 4.305000000000001, 41.688, 1.787, 0.42289, 3.17e-05, 1.1598, 3.966, 781.1800000000001, 
Floni, 11, 7.612999999999999, 6.254, 97.235, 0.7366999999999999, 0.984654, 0.6447029200000001, 1.7553, 4.152200000000001, 1442.9289999999999, 
Joey Christ, 6, 4.731999999999999, 4.21, 38.691, 1.1757, 0.3305, 0.026747, 1.1156000000000001, 2.26, 849.1579999999999, 
Chase, 1, 0.909, 0.585, 9.112, 0.184, 0.0523, 0.0, 0.0824, 0.658, 103.003, 
FM95BL√-, 1, 0.495, 0.542, 5.891, 0.0351, 0.263, 0.0, 0.103, 0.313, 129.108, 
Kr√≥li, 1, 0.895, 0.478, 13.845, 0.23, 0.073, 0.00292, 0.14, 0.502, 105.037, 
J√≥iP√©, 9, 7.472, 5.129, 94.93599999999998, 1.7314, 1.7146, 0.03364882, 0.9816, 5.287000000000001, 1122.24, 
Birnir, 2, 1.523, 0.979, 17.455, 0.47100000000000003, 0.24960000000000002, 0.000111, 0.2105, 1.2309999999999999, 234.00300000000001, 
Laddi, 1, 0.824, 0.621, 6.975, 0.031, 0.483, 1.17e-06, 0.112, 0.909, 102.177, 
Helgi Bj√∂rnsson, 1, 0.455, 0.553, 8.736, 0.0267, 0.0963, 1.02e-06, 0.116, 0.555, 161.937, 
√ç sv√∂rtum f√∂tum, 1, 0.479, 0.631, 14.307, 0.0276, 0.00694, 0.0, 0.113, 0.64, 144.019, 
Ruth Reginalds, 1, 0.594, 0.391, 12.688, 0.0259, 0.106, 0.0, 0.166, 0.205, 89.997, 
Birgitta Haukdal, 1, 0.818, 0.416, 13.45, 0.0295, 0.0434, 2.86e-05, 0.0615, 0.85, 95.99, 
Bj√∂rgvin Halld√≥rsson, 1, 0.612, 0.443, 10.668, 0.0263, 0.212, 0.000142, 0.285, 0.641, 93.503, 
Eyj√≥lfur Kristj√°nsson, 1, 0.605, 0.615, 11.698, 0.0351, 0.371, 2.34e-06, 0.121, 0.439, 145.158, 
Geisha Cartel, 1, 0.846, 0.695, 10.509, 0.0681, 0.392, 0.000264, 0.125, 0.739, 146.973, 
Baggal√∫tur, 1, 0.475, 0.744, 6.936, 0.0462, 0.174, 0.0, 0.0621, 0.925, 114.392, 
Charly Black, 1, 0.723, 0.889, 4.017, 0.0939, 0.0673, 0.0, 0.363, 0.701, 101.032, 
Cali Y El Dandee, 1, 0.724, 0.84, 3.581, 0.0392, 0.053, 0.0, 0.727, 0.835, 92.01, 
C. Tangana, 1, 0.836, 0.731, 4.572, 0.133, 0.238, 2.19e-05, 0.0698, 0.473, 100.974, 
Demarco Flamenco, 1, 0.593, 0.785, 5.896, 0.131, 0.455, 0.0, 0.0682, 0.765, 94.869, 
Dasoul, 1, 0.817, 0.804, 4.372, 0.0651, 0.137, 1.4e-05, 0.0917, 0.57, 104.996, 
Abraham Mateo, 1, 0.69, 0.872, 2.984, 0.0588, 0.226, 0.0, 0.0858, 0.731, 94.0, 
Pablo Albor√°n, 2, 1.462, 1.374, 14.798, 0.1172, 0.464, 4.66e-05, 0.53, 1.154, 199.99, 
Juan Mag√°n, 1, 0.675, 0.724, 5.503, 0.0787, 0.0166, 0.0, 0.697, 0.506, 92.051, 
Yzomandias, 2, 1.212, 1.459, 13.774000000000001, 0.36160000000000003, 0.1623, 0.0, 0.457, 0.626, 298.40999999999997, 
Ian Erix, 1, 0.553, 0.901, 4.836, 0.0565, 0.000469, 0.0, 0.14, 0.38, 132.931, 
Miquela, 1, 0.734, 0.439, 8.285, 0.0646, 0.698, 4.34e-05, 0.125, 0.454, 82.469, 
Dƒ>tsk√Ω sbor Camerata, 3, 1.389, 0.6478999999999999, 40.595, 0.12819999999999998, 2.612, 0.0, 0.6739999999999999, 1.596, 294.375, 
JP Cooper, 1, 0.623, 0.654, 5.675, 0.0372, 0.0545, 0.0, 0.0838, 0.401, 95.921, 
Sigala, 1, 0.708, 0.868, 3.287, 0.0431, 0.0313, 0.0, 0.122, 0.72, 124.994, 
MK, 1, 0.703, 0.832, 7.202, 0.0689, 0.00149, 0.127, 0.0696, 0.667, 122.029, 
Elton John, 1, 0.532, 0.926, 5.536, 0.0357, 0.112, 9.84e-06, 0.318, 0.814, 140.137, 
CamelPhat, 1, 0.706, 0.74, 7.904, 0.0325, 0.0245, 0.512, 0.135, 0.444, 122.007, 
Ronnie Flex, 8, 6.4110000000000005, 5.021, 50.948, 1.4290000000000003, 1.3380000000000003, 5.91e-06, 1.024, 4.592, 856.0220000000002, 
Broederliefde, 9, 6.47, 5.824, 67.924, 2.2517, 1.45538, 1.814e-05, 1.0991, 4.558, 924.254, 
F1rstman, 1, 0.785, 0.666, 4.991, 0.0468, 0.309, 0.0, 0.338, 0.76, 101.154, 
Jairzinho, 1, 0.861, 0.881, 5.411, 0.168, 0.137, 0.00379, 0.0938, 0.834, 122.945, 
LouiVos, 1, 0.931, 0.805, 5.73, 0.206, 0.111, 0.0, 0.0882, 0.791, 122.087, 
SBMG, 2, 1.698, 1.671, 9.075, 0.673, 0.1625, 0.0, 0.929, 1.5110000000000001, 251.053, 
SFB, 4, 3.048, 3.2079999999999997, 17.673000000000002, 0.7847, 0.44499999999999995, 4.03e-05, 0.4987, 2.5700000000000003, 509.099, 
Dopebwoy, 1, 0.849, 0.778, 5.443, 0.217, 0.0358, 1.43e-06, 0.126, 0.634, 126.842, 
Equalz, 2, 1.597, 1.4340000000000002, 10.371, 0.3453, 0.65, 5.46e-05, 0.1859, 1.642, 185.06400000000002, 
Ali B, 1, 0.778, 0.752, 6.554, 0.0567, 0.0193, 0.0, 0.288, 0.505, 100.005, 
Lijpe, 2, 1.794, 1.6669999999999998, 12.751, 0.626, 0.1476, 6.67e-05, 0.10619999999999999, 1.2309999999999999, 250.02100000000002, 
Josylvio, 1, 0.726, 0.691, 4.753, 0.275, 0.626, 0.0, 0.0735, 0.384, 99.728, 
Frenna, 4, 3.0949999999999998, 2.7310000000000003, 24.532, 0.74, 0.751, 5.23e-06, 0.6132, 2.879, 508.68, 
Jonna Fraser, 3, 2.5090000000000003, 2.297, 19.492, 0.374, 0.3164, 0.0016257, 0.5868, 1.932, 362.005, 
Famke Louise, 2, 1.525, 0.99, 18.727, 0.1608, 0.731, 0.0376, 0.16570000000000001, 1.0170000000000001, 285.916, 
Bruce Springsteen, 1, 0.355, 0.668, 8.444, 0.0482, 0.362, 1.23e-06, 0.727, 0.413, 139.734, 
Puri, 1, 0.847, 0.573, 6.032, 0.253, 0.00739, 0.0149, 0.0845, 0.332, 99.919, 
Pil C, 8, 5.566000000000001, 5.606, 55.987, 2.3964, 1.9729999999999999, 0.00221056, 2.292, 2.998, 1007.2479999999999, 
Samey, 2, 1.341, 0.921, 17.131, 0.3455, 0.2723, 4.53e-05, 0.223, 0.2602, 229.878, 
Ego, 8, 5.233, 6.399, 41.260999999999996, 1.7187999999999999, 0.9803, 0.0, 2.674, 4.367000000000001, 884.8050000000001, 
Jos√© Feliciano, 1, 0.485, 0.857, 7.059, 0.0442, 0.534, 0.0, 0.347, 0.963, 148.749, 
Silvestre Dangond, 2, 1.295, 1.825, 5.1850000000000005, 0.1871, 0.2133, 0.0, 0.44689999999999996, 1.5350000000000001, 191.887, 
Xantos, 1, 0.688, 0.719, 4.746, 0.0555, 0.163, 0.0, 0.15, 0.605, 88.015, 
Greeicy, 1, 0.8, 0.681, 4.076, 0.0912, 0.14, 0.0, 0.0831, 0.637, 92.027, 
Keala Settle, 1, 0.284, 0.704, 7.276, 0.186, 0.00583, 0.000115, 0.0424, 0.1, 191.702, 
Raisa, 1, 0.482, 0.696, 4.665, 0.0358, 0.438, 0.0, 0.0893, 0.253, 155.95, 
EXO, 2, 1.505, 1.7029999999999998, 8.711, 0.1047, 0.07, 7.319999999999999e-05, 0.13490000000000002, 1.405, 291.945, 
Payung Teduh, 3, 1.595, 1.9180000000000001, 21.96, 0.1981, 1.5539999999999998, 0.09539000000000002, 0.39499999999999996, 1.977, 259.885, 
El Alfa, 4, 3.075, 3.752, 11.433, 0.4581, 0.9558, 0.8758699999999999, 0.537, 2.249, 496.737, 
Arcangel, 2, 1.6139999999999999, 1.109, 16.461, 0.554, 0.799, 0.0, 0.955, 1.178, 240.114, 
Revol, 1, 0.768, 0.735, 2.511, 0.0669, 0.202, 0.0, 0.0557, 0.303, 129.99, 
Ceky Viciny, 1, 0.866, 0.838, 3.958, 0.125, 0.172, 0.00177, 0.245, 0.597, 119.989, 
Jory Boy, 1, 0.748, 0.69, 3.812, 0.0477, 0.0353, 0.0, 0.315, 0.433, 131.972, 
Bryant Myers, 1, 0.662, 0.628, 3.889, 0.0468, 0.145, 0.0, 0.274, 0.202, 139.898, 
Gigolo Y La Exce, 1, 0.714, 0.624, 5.413, 0.0651, 0.39, 0.0, 0.12, 0.5, 140.984, 
Goldy Boy, 1, 0.751, 0.485, 11.907, 0.249, 0.408, 0.0, 0.0863, 0.534, 84.967, 
Musicologo The Libro, 1, 0.894, 0.723, 5.61, 0.0917, 0.246, 0.00475, 0.15, 0.487, 116.003, 
To√±o Rosario, 1, 0.648, 0.951, 1.565, 0.233, 0.527, 0.0, 0.0707, 0.966, 165.364, 
Stormzy, 3, 1.9729999999999999, 2.684, 11.264, 0.685, 0.5772999999999999, 0.000163, 0.2611, 1.8279999999999998, 408.53600000000006, 
J HUS, 1, 0.579, 0.579, 6.787, 0.394, 0.387, 0.0, 0.17, 0.842, 104.757, 
Rudimental, 1, 0.619, 0.858, 5.28, 0.0929, 0.00791, 0.0, 0.173, 0.23, 106.017, 
Yungen, 1, 0.497, 0.59, 7.564, 0.258, 0.1, 0.0, 0.0714, 0.585, 99.638, 
James Hype, 1, 0.81, 0.885, 4.583, 0.108, 0.101, 0.0, 0.268, 0.447, 122.985, 
Chris Brown, 1, 0.614, 0.598, 6.335, 0.0561, 0.00543, 0.0, 0.1, 0.565, 105.803, 
Mabel, 1, 0.837, 0.575, 6.665, 0.0951, 0.0497, 2.09e-06, 0.0861, 0.648, 108.005, 
Big Shaq, 1, 0.895, 0.885, 4.182, 0.268, 0.11, 4.04e-05, 0.106, 0.633, 134.973, 
Ramz, 1, 0.527, 0.465, 8.055, 0.227, 0.175, 0.0, 0.0661, 0.765, 137.033, 
Jerry Smith, 1, 0.855, 0.506, 5.303, 0.345, 0.00579, 0.0, 0.101, 0.699, 160.088, 
Peking Duk, 1, 0.528, 0.874, 3.028, 0.0456, 0.045, 0.0, 0.0888, 0.376, 105.042, 
Pnau, 1, 0.718, 0.934, 3.153, 0.0379, 0.00149, 0.000131, 0.324, 0.239, 119.989, 
Amy Shark, 1, 0.592, 0.438, 10.054, 0.0391, 0.193, 0.0, 0.0564, 0.259, 67.445, 
Snakehips, 1, 0.657, 0.703, 3.402, 0.0753, 0.222, 0.0, 0.256, 0.338, 122.381, 
Halsey, 2, 1.3330000000000002, 1.16, 9.768, 0.0812, 0.20700000000000002, 4.27e-06, 0.264, 0.905, 220.07, 
Idina Menzel, 1, 0.553, 0.476, 8.869, 0.0649, 0.647, 0.0, 0.281, 0.558, 113.401, 
The xx, 2, 1.35, 1.3900000000000001, 14.565999999999999, 0.0652, 0.3482, 0.19206410000000002, 0.34, 0.733, 255.13100000000003, 
The Ludvig, 1, 0.545, 0.446, 8.336, 0.0468, 0.345, 0.0, 0.187, 0.247, 134.148, 
Triana Park, 1, 0.706, 0.644, 7.045, 0.0372, 0.0136, 3.2e-05, 0.187, 0.357, 126.02, 
Aleete, 1, 0.582, 0.00772, 12.678, 0.324, 0.689, 0.967, 0.06, 0.176, 69.507, 
Kyle Edwards, 1, 0.809, 0.788, 5.127, 0.0457, 0.354, 0.0905, 0.181, 0.465, 126.056, 
Mani, 1, 0.559, 0.787, 3.828, 0.295, 0.165, 0.0, 0.101, 0.591, 88.047, 
Ewert and the Two Dragons, 1, 0.648, 0.727, 6.235, 0.0555, 0.0203, 0.000978, 0.11, 0.714, 113.901, 
starRo, 2, 1.576, 0.711, 21.622999999999998, 0.159, 0.6960000000000001, 0.071199, 1.147, 0.785, 185.041, 
"PrƒÅta Vƒ""tra", 1, 0.538, 0.644, 6.359, 0.0398, 0.18, 0.00335, 0.108, 0.345, 89.926, 
Lil Peep, 1, 0.602, 0.762, 6.149, 0.0347, 0.0498, 0.00819, 0.121, 0.112, 92.02, 
Hones-T, 2, 1.5339999999999998, 1.583, 10.201, 0.09140000000000001, 0.08033000000000001, 2.64e-06, 0.2288, 0.8360000000000001, 247.933, 
MaWayy, 1, 0.619, 0.844, 4.508, 0.0366, 0.0536, 0.000782, 0.362, 0.388, 103.013, 
Exiled, 1, 0.494, 0.693, 5.801, 0.0523, 0.0129, 0.000336, 0.965, 0.461, 127.952, 
G.a.R., 1, 0.756, 0.698, 5.31, 0.382, 0.0354, 0.0, 0.345, 0.193, 133.991, 
JJ Hannon, 1, 0.564, 0.627, 5.981, 0.0257, 0.119, 0.0, 0.0952, 0.586, 140.119, 
Young DrA, 1, 0.739, 0.869, 4.805, 0.205, 0.368, 0.0, 0.0865, 0.623, 130.011, 
TIFFANY BYNOE, 1, 0.411, 0.757, 8.796, 0.14, 0.0275, 0.000947, 0.0978, 0.652, 173.734, 
Luca Testa, 1, 0.68, 0.512, 8.826, 0.0514, 0.57, 0.0, 0.0988, 0.0774, 122.076, 
–≠–ª–¥–∂–µ–π, 1, 0.831, 0.719, 5.427, 0.0545, 0.318, 0.000663, 0.107, 0.329, 115.056, 
Monsieur Job, 1, 0.849, 0.605, 6.896, 0.16, 0.023, 0.111, 0.0251, 0.393, 99.989, 
Marcus & Martinus, 1, 0.612, 0.756, 4.309, 0.0689, 0.0752, 0.0, 0.427, 0.542, 99.988, 
Charmaine Fong, 2, 1.154, 0.881, 16.891, 0.06459999999999999, 1.593, 0.0, 0.2133, 0.5509999999999999, 272.757, 
Dear Jane, 1, 0.458, 0.755, 5.335, 0.0344, 0.00404, 0.0, 0.326, 0.352, 143.909, 
Jason Chan, 1, 0.626, 0.392, 9.621, 0.0297, 0.718, 2.72e-06, 0.141, 0.252, 94.484, 
Ryan Gosling, 1, 0.483, 0.121, 15.133, 0.0349, 0.91, 0.0, 0.0885, 0.419, 106.032, 
La La Land Cast, 1, 0.584, 0.752, 6.689, 0.058, 0.018, 3.73e-06, 0.647, 0.791, 125.797, 
ToNick, 1, 0.498, 0.77, 4.55, 0.0434, 0.347, 0.0, 0.34, 0.503, 144.07, 
Kris Wu, 1, 0.677, 0.697, 5.63, 0.0321, 0.0198, 0.0, 0.144, 0.61, 134.0, 
